attribute_id,name,category_id,name,string_val,default_unit_id,default_storage_field,description,cardinality
31,% Crown Cover,12,Vegetation Biophysical Variables,,NULL,double_val,Crown Cover Percentage,1
23,Acquisition Time,3,General,,NULL,datetime_val,NULL,1
156,Agency Code,9,Campaign Details,,NULL,string_val,,1
145,Air Dry Water Content,21,Soil Parameters,,13,double_val,NULL,1
144,Air Dry Water Content Method,21,Soil Parameters,,NULL,string_val,NULL,1
2,Air Pressure,4,Environmental Conditions,,NULL,double_val,NULL,1
50,Altitude,1,Location,,15,double_val,NULL,1
1,Ambient Temperature,4,Environmental Conditions,,NULL,double_val,NULL,1
30,Approx. Crown Diameter,12,Vegetation Biophysical Variables,,NULL,double_val,,1
148,ASC Order,21,Soil Parameters,,NULL,string_val,NULL,1
149,ASC Sub-Order,21,Soil Parameters,,NULL,string_val,NULL,1
8,Automatic Dark Current Correction,5,Instrument Settings,,NULL,string_val,Dark current has been compensated for by the instrument (ON/OFF),1
139,Available P,21,Soil Parameters,,NULL,double_val,NULL,1
138,Available P Method,21,Soil Parameters,,NULL,string_val,NULL,1
66,Azimuth Sensor Type,10,Instrumentation,,NULL,string_val,,1
160,Beam Geometry,6,Sampling Geometry,,NULL,taxonomy_id,,1
103,Bulk Density,21,Soil Parameters,,4,double_val,NULL,1
102,Bulk Density Method,21,Soil Parameters,,NULL,string_val,NULL,1
62,Calibration Number,7,Instrument,,NULL,int_val,NULL,1
65,Campaign Name,9,Campaign Details,,NULL,string_val,Further specification of a particular campaign. Mainly used where a SPECCHIO campaign comprises several original sampling campaigns,1
15,Capturing Software Name,5,Instrument Settings,,NULL,string_val,NULL,1
16,Capturing Software Version,5,Instrument Settings,,NULL,string_val,NULL,1
89,Carbon,21,Soil Parameters,,NULL,double_val,NULL,1
88,Carbon Method,21,Soil Parameters,,NULL,string_val,NULL,1
119,CEC,21,Soil Parameters,,10,double_val,NULL,1
118,CEC Method,21,Soil Parameters,,NULL,string_val,NULL,1
26,Chlorophyll Content,12,Vegetation Biophysical Variables,,2,double_val,NULL,1
38,Citation,15,Scientific References,,NULL,string_val,Publication to be cited when using these spectral data,NULL
95,Clay,21,Soil Parameters,,NULL,double_val,NULL,1
94,Clay Method,21,Soil Parameters,,NULL,string_val,NULL,1
6,Cloud Cover,4,Environmental Conditions,,NULL,double_val,NULL,1
101,Coarse Sand,21,Soil Parameters,,NULL,double_val,NULL,1
100,Coarse Sand Method,21,Soil Parameters,,NULL,string_val,NULL,1
71,Common,8,Names,,NULL,string_val,NULL,1
162,Contact Probe,10,Instrumentation,,NULL,taxonomy_id,,1
36,Crown Class (FPMRIS),12,Vegetation Biophysical Variables,,NULL,taxonomy_id,SOP 13 Measuring a Large Tree Plot,1
59,Data Ingestion Notes,18,Processing,,NULL,string_val,Notes produced by the data ingestion module during data loading into SPECCHIO,NULL
161,Data Usage Policy,16,Data Portal,,NULL,string_val,,1
28,DBH,12,Vegetation Biophysical Variables,,NULL,double_val,Diameter at breast height,1
55,DC Flag,18,Processing,,NULL,int_val,Designates this spectrum as dark current spectrum,1
164,Digital Object Identifier,16,Data Portal,,NULL,string_val,,1
33,Dry Weight,12,Vegetation Biophysical Variables,,NULL,double_val,,1
147,Electrical Conductivity,21,Soil Parameters,,14,double_val,NULL,1
146,Electrical Conductivity Method,21,Soil Parameters,,NULL,string_val,NULL,1
